utterance,normalized_utterance,matched_concept,similarity_score,distance_to_centroid,is_main_concept,is_repeated
"Uh, there's a lady who has 3 daughters, and , uh, one of her, her daughters is a stepdaughter,.","there's a lady who has 3 daughters, and, one of her, her daughters is a stepdaughter",Dad remarried a woman with two daughters.,0.417,0.583,True,False
"and they, she received an invitation to attend the ball.","and they, she received an invitation to attend the ball.",They got an invitation to the ball.,0.4982,0.5018,True,False
"But the,.","But the,.",,0.138,0.862,False,False
"but the, the, the, the 3 daughter thinks they're gonna go,.","but the, the, the, the 3 daughter thinks they're gonna go,.",Dad remarried a woman with two daughters.,0.3673,0.6327,True,False
"but his two daughters go,.","but his two daughters go,.",Dad remarried a woman with two daughters.,0.2618,0.7382,True,False
but the stepdaughter doesn't go.,but the stepdaughter doesn't go.,Stepmother/stepsisters went to the ball.,0.4496,0.5504,True,False
And so the uh She's working around the house.,And so the She's working around the house,Cinderella has to do housework.,0.2847,0.7153,True,False
and she runs into a fairy godmother.,and she runs into a fairy godmother.,A fairy godmother appeared to Cinderella.,0.619,0.381,True,False
and fairy godmother dresses her up to go to the ball.,and fairy godmother dresses her up to go to the ball.,The fairy godmother makes Cinderella into a beautiful princess.,0.6992,0.3008,True,False
and she goes to the ball.,and she goes to the ball.,They got an invitation to the ball.,0.41,0.59,True,False
"and she has a, uh, a thing.","and she has a, a thing",Cinderella has to do housework.,0.2747,0.7253,True,False
"Uh, she sees a, she's gotta be home by 12 o'clock, so,.","she sees a, she's gotta be home by 12 o'clock, so",She knew she had to be home by midnight because everything will turn back at midnight.,0.3583,0.6417,True,False
"and she's just, just, uh, partying.","and she's just, just, partying",Cinderella realized it is midnight.,0.2488,0.7512,True,False
"and forgets about the time and she, uh, almost 12 o'clock, so she runs home.","and forgets about the time and she, almost 12 o'clock, so she runs home",Cinderella realized it is midnight.,0.4482,0.5518,True,False
and loses her slipper.,and loses her slipper.,As she was running down the stairs she lost one of the glass slippers.,0.552,0.448,True,False
"Uh, uh, uh, so she walks up.",so she walks up,Prince finds Cinderella’s shoe.,0.3608,0.6392,True,False
"and the, the prince finds her slipper.","and the, the prince finds her slipper.",Prince finds Cinderella’s shoe.,0.6922,0.3078,True,False
and searches around for the woman who fits the slipper perfectly.,and searches around for the woman who fits the slipper perfectly.,The slipper fits Cinderella perfectly.,0.5225,0.4775,True,False
"and she, he finally, uh, finds the stepdaughter.","and she, he finally, finds the stepdaughter",Cinderella lives with her stepmother/stepsisters.,0.518,0.482,True,False
"and the, the, the the the Uh, uh, The Uh, let's, The shoe fits the person, the, the, the stepdaughter perfectly,.","and the, the, the the the The let's, The shoe fits the person, the, the, the stepdaughter perfectly",The slipper didn’t fit the stepsisters.,0.415,0.585,True,False
and he gets married.,and he gets married.,Prince falls in love with Cinderella.,0.3578,0.6422,True,False
"and they have, they have lived happily ever after.","and they have, they have lived happily ever after.",Cinderella and the prince lived happily ever after.,0.3459,0.6541,True,False
And tell me the story.,And tell me the story.,Cinderella and the prince were married.,0.2697,0.7303,True,False
OK.,OK.,,0.0911,0.9089,False,False
"The, the, the left waiver, the, the, the two stepdaughters where they were arguing about who's going to go to the bell.","The, the, the left waiver, the, the, the two stepdaughters where they were arguing about who's going to go to the bell.",Stepmother/stepsisters went to the ball.,0.3157,0.6843,True,False
and who wasn't going to go ball.,and who wasn't going to go ball.,They got an invitation to the ball.,0.2499,0.7501,True,False
"Who could get the, her clothes and all that sort of stuff, and they finally, So, the, uh, They.","Who could get the, her clothes and all that sort of stuff, and they finally, the, They",Stepsisters tore Cinderella’s dress.,0.4866,0.5134,True,False
"Great, give me a second.","Great, give me a second.",,0.0705,0.9295,False,False
"They, uh, sorry, sorry, sorry.","They, sorry, sorry, sorry",They got an invitation to the ball.,0.1769,0.8231,True,False
"Very, um, I can't talk.","Very, I can't talk",,0.0884,0.9116,False,False
"A fairy god, godmother, uh, What is she, I guess.","A fairy god, godmother, What is she",A fairy godmother appeared to Cinderella.,0.4131,0.5869,True,False
"that they see the, the very, uh.","that they see the, the very",Cinderella realized it is midnight.,0.1992,0.8008,True,False
"The good ferry, I have to call it the good ferry, uh, gets you the, the, uh, the, we, the west, it was the, uh, Sweater, and , uh, then the other girls,.","The good ferry, I have to call it the good ferry, gets you the, the, the, we, the west, it was the, Sweater, and, then the other girls",The prince and Cinderella danced around the room/all night/with no one else.,0.297,0.703,True,False
"because she looks so nice, they tear her apart.","because she looks so nice, they tear her apart.",Stepsisters tore Cinderella’s dress.,0.2568,0.7432,True,False
"And , oh, then, then it comes in with the other, with the other ferry after, I mean, after that , the, the, uh, the other sweater.","And, then, then it comes in with the other, with the other ferry after, after that, the, the, the other sweater",Prince finds Cinderella’s shoe.,0.3317,0.6683,True,False
"So she goes to the ball,.",she goes to the ball,They are excited about the ball.,0.3151,0.6849,True,True
"and , uh, she knows she has to be back before midnight.","and, she knows she has to be back before midnight",She knew she had to be home by midnight because everything will turn back at midnight.,0.3549,0.6451,True,False
"Uh,.",,,0.1262,0.8738,False,False
"And she dances with the pri the queen and the, the uh prince.","And she dances with the pri the queen and the, the prince",The prince and Cinderella danced around the room/all night/with no one else.,0.511,0.489,True,False
"And Comes 10, 12:00, she has to leave, and she, Runs out.","And Comes 10, 12:00, she has to leave, and she, Runs out.",She knew she had to be home by midnight because everything will turn back at midnight.,0.3878,0.6122,True,False
And then they.,they,,0.1564,0.8436,False,False
"Want to find out who can, she left her slip, her slipper.","Want to find out who can, she left her slip, her slipper.",As she was running down the stairs she lost one of the glass slippers.,0.4228,0.5772,True,False
"So they, they put out the word to find out who this slippers fits, come across her place, of course, the two girls, the other older girl, they're, they're arguing they can't, they're trying to get in.","they, they put out the word to find out who this slippers fits, come across her place, of course, the two girls, the other older girl, they're, they're arguing they can't, they're trying to get in",The slipper didn’t fit the stepsisters.,0.4524,0.5476,True,False
"and they can't get in, they can't get in, so they're kicked out.","and they can't get in, they can't get in, so they're kicked out.",They got an invitation to the ball.,0.1897,0.8103,True,False
"So here comes the, the, the, the girl,.","here comes the, the, the, the girl",The prince and Cinderella danced around the room/all night/with no one else.,0.3182,0.6818,True,False
"and , I said, uh, does it fit, it fits.","and, I said, does it fit, it fits",,0.1366,0.8634,False,False
"I said, you're it.","I said, you're it.",,0.0383,0.9617,False,False
that 's it.,that 's it.,,0.1402,0.8598,False,False
This little boy grows up to his father.,This little boy grows up to his father.,Prince falls in love with Cinderella.,0.3368,0.6632,True,False
And uh this other.,And this other,,0.1628,0.8372,False,False
"Uh, he didn't have a mother.",he didn't have a mother,He put the slipper on Cinderella’s foot.,0.3346,0.6654,True,False
"The mother found this other boy who had boys temperatures, so there were 3 children in the house.","The mother found this other boy who had boys temperatures, so there were 3 children in the house.",Stepmother/stepsisters went to the ball.,0.3844,0.6156,True,False
"And the girls were Uh, treated to be seen in a house.",And the girls were treated to be seen in a house,A fairy godmother appeared to Cinderella.,0.5515,0.4485,True,False
and they're treated at him.,and they're treated at him.,Stepmother/stepsisters were mean to Cinderella.,0.1928,0.8072,True,False
"as being Um, They were treated as a a guild.",as being They were treated as a a guild,Stepmother/stepsisters were mean to Cinderella.,0.1828,0.8172,True,False
"She was, she was like, um, She, they treated her as a meeting person.","She was, she was She, they treated her as a meeting person",Cinderella was upset.,0.3004,0.6996,True,False
They had her scrub the floor.,They had her scrub the floor.,Cinderella has to do housework.,0.3318,0.6682,True,False
"and keep the floor and everything else,.","and keep the floor and everything else,.",Cinderella has to do housework.,0.2056,0.7944,True,False
"but the girls weren't cheated,.","but the girls weren't cheated,.",The prince and Cinderella danced around the room/all night/with no one else.,0.2513,0.7487,True,False
"but he would, the girls got everything.","but he would, the girls got everything.",Cinderella has to do housework.,0.2262,0.7738,True,False
"And he took care of children and they were good to them, but the other animals were not.","And he took care of children and they were good to them, but the other animals were not.",Cinderella was a servant to the stepmother and stepsisters.,0.2348,0.7652,True,False
"Uh, Uh,.",,,0.1262,0.8738,False,False
"and then there was uh Um, a, a sieve.","there was a, a sieve",He put the slipper on Cinderella’s foot.,0.2777,0.7223,True,False
and there was a um a I don't know what he was a king.,and there was a a I don't know what he was a king,The king thinks the prince should get married.,0.2812,0.7188,True,False
Whatever.,Whatever.,,0.0541,0.9459,False,False
"And they said to him, We have to this boy, this ball to someone who looked good if all the girls in the crowd.","And they said to him, We have to this boy, this ball to someone who looked good if all the girls in the crowd.",They got an invitation to the ball.,0.4174,0.5826,True,False
and everybody could go.,and everybody could go.,,0.1609,0.8391,False,False
and He was given a place to go.,and He was given a place to go.,He put the slipper on Cinderella’s foot.,0.3464,0.6536,True,False
"Only his, his, the family showed the present.","Only his, his, the family showed the present.",Stepmother/stepsisters went to the ball.,0.3127,0.6873,True,False
"He was, his did not dress he was at all.","He was, his did not dress he was at all.",He put the slipper on Cinderella’s foot.,0.2186,0.7814,True,False
"So, so he was left at home in the house.",so he was left at home in the house,She returned home in time.,0.3658,0.6342,True,False
And the family.,And the family.,Stepmother/stepsisters went to the ball.,0.3434,0.6566,True,False
and the mother went out to the to the thing.,and the mother went out to the to the thing.,Stepmother/stepsisters went to the ball.,0.4782,0.5218,True,False
"And uh the body, they have a They, they have a greeting up of uh this lady.","And the body, they have a They, they have a greeting up of this lady",Stepmother/stepsisters went to the ball.,0.2615,0.7385,True,False
"They didn't know no name of her,.","They didn't know no name of her,.",The prince and Cinderella danced around the room/all night/with no one else.,0.2845,0.7155,True,False
