participant,utterance,Ground Truth Matching? ,predicted matching
williamson10a,"and she has a, uh, a thing.",False,True
williamson10a,"Uh, uh, uh, so she walks up.",False,True
williamson05a,And tell me the story.,False,True
williamson05a,"They, uh, sorry, sorry, sorry.",False,True
williamson05a,"that they see the, the very, uh.",False,True
williamson05a,"The good ferry, I have to call it the good ferry, uh, gets you the, the, uh, the, we, the west, it was the, uh, Sweater, and , uh, then the other girls,.",False,True
williamson05a,"And , oh, then, then it comes in with the other, with the other ferry after, I mean, after that , the, the, uh, the other sweater.",False,True
williamson05a,"and they can't get in, they can't get in, so they're kicked out.",False,True
adler05a,This little boy grows up to his father.,False,True
adler05a,"Uh, he didn't have a mother.",False,True
adler05a,"The mother found this other boy who had boys temperatures, so there were 3 children in the house.",False,True
adler05a,"And the girls were Uh, treated to be seen in a house.",False,True
adler05a,and they're treated at him.,False,True
adler05a,"as being Um, They were treated as a a guild.",False,True
adler05a,"She was, she was like, um, She, they treated her as a meeting person.",False,True
adler05a,"but the girls weren't cheated,.",False,True
adler05a,"and then there was uh Um, a, a sieve.",False,True
adler05a,and He was given a place to go.,False,True
adler05a,"Only his, his, the family showed the present.",False,True
adler05a,"He was, his did not dress he was at all.",False,True
adler05a,"So, so he was left at home in the house.",False,True
adler05a,And the family.,False,True
adler05a,and the mother went out to the to the thing.,False,True
adler05a,"And uh the body, they have a They, they have a greeting up of uh this lady.",False,True
adler05a,"They didn't know no name of her,.",False,True
adler05a,"but she, she gives them a house, gives them a house, a house.",False,True
adler05a,"Um, with cartons were the horses were the.",False,True
adler05a,"And would get them to go,.",False,True
adler05a,"but he was told he had to be home by 11 o'clock, by 12 o'clock.",False,True
adler05a,"And um he, he gets a beautiful gown.",False,True
adler05a,"She's everything, beautiful.",True,False
adler05a,"And then He goes to the president and she, he, he, the chief.",False,True
adler05a,He looked beautiful.,False,True
adler05a,"that the crown, uh, was leaving.",False,True
adler05a,or maybe it was ran down.,True,False
adler05a,"or the other, they, he left a class sheet.",False,True
adler05a,She's leaving the gown.,False,True
adler05a,"And she, um, she lives, uh, uh, uh, uh, uh, she left one of her old blisters, her glass.",False,True
adler05a,She was leaving.,True,False
adler05a,Ah bless and they were special.,False,True
adler05a,"Uh, classroom.",False,True
adler05a,that they left.,False,True
adler05a,and he was going to.,False,True
adler05a,And he's very looking for whoever.,True,False
adler05a,"And to his aunt Tammy buddy,.",False,True
adler05a,and he tried all the three.,True,False
adler05a,"and he found her fit on his bath and girls of the world, everybody.",False,True
acwt04a,"With her two steps, I think,.",False,True
acwt04a,"I, I believe she gets her mother's stress, and , um, Uh, step sitters, basically.",False,True
acwt04a,Take it away from her and um.,False,True
acwt04a,"I don't remember their names,.",False,True
acwt04a,"and her, um, does her up and , um, Uh.",False,True
acwt04a,"but , um, he tries on, uh, tries to.",False,True
elman07a,"3 people, 2 people and 122 people and uh Entourage.",False,True
elman07a,"OK, and uh now here.",False,True
elman07a,"and all of a sudden realized, uh, say, yeah, now, uh, um.",False,True
elman07a,"Right Round the wheels, wheels, you know, wheels round.",False,True
elman07a,"but uh I don't know why,.",False,True
elman07a,"and say, OK, and uh Now, really good, really good, and not good, not good.",False,True
elman07a,"and say, well, Really good uh uh.",False,True
elman07a,Finger up.,False,True
elman07a,"And say, really nice, really, really, really good too, and not good,.",False,True
acwt12a,"Sandberg, he was a, uh, worked in a, in a, a, a help a family.",False,True
acwt12a,that had that he was a a servant of the uh the film and uh.,False,True
acwt12a,"and he, they, what he want everybody got want to go.",False,True
acwt12a,and get their clothes.,False,True
acwt12a,"and had they uh say um they he said he was uh Sandoranno wasn't able to go, so he was out out with the uh outside with the animals outside and she was he wasn't she wasn't happy at all and they uh very, very, very.",False,True
acwt12a,"Fay, no,.",False,True
acwt12a,"that 's right, furry flower man, a lady came and ,.",False,True
acwt12a,"and they, uh, everybody was going to be, uh, uh, naked to, uh.",False,True
acwt12a,"and , uh, she, she was told him, her them the, the.",False,True
acwt12a,He would tie tie the shoe on.,False,True
acwt12a,and he go they went away.,False,True
whiteside01a,"The woman there was the hired, who hired her hired her, and two girls were behind her.",False,True
whiteside01a,that went with her.,False,True
whiteside01a,"And she met that guy, the good looking young man.",False,True
whiteside01a,"that he liked,.",True,False
wozniak04a,What was in there?,False,True
wozniak04a,Cinderella was brought to this factory.,False,True
