utterance,normalized_utterance,matched_concept,similarity_score,distance_to_centroid,is_main_concept,is_repeated
"So this is a long story, and this is the Disney version and not the Brothers Grimm version.","this is a long story, and this is the Disney version and not the Brothers Grimm version",Cinderella lives with her stepmother/stepsisters.,0.547,0.453,True,
"So once upon a time, there was a very happy family with one little girl named Cinderella.","once upon a time, there was a very happy family with one little girl named Cinderella",Cinderella was a servant to the stepmother and stepsisters.,0.7811,0.2189,True,
The mother had died.,The mother had died.,As she was running down the stairs she lost one of the glass slippers.,0.3469,0.6531,True,
"before the story starts,.","before the story starts,.",Prince falls in love with Cinderella.,0.3481,0.6519,True,
and the father wanted to Marry again.,and the father wanted to Marry again.,Dad remarried a woman with two daughters.,0.4921,0.5079,True,
that Cinderella would have a stepmother.,that Cinderella would have a stepmother.,Cinderella was a servant to the stepmother and stepsisters.,0.74,0.26,True,
"So he did,.",he did,,0.1312,0.8688,False,False
"and he married this woman whose name I don't remember,.",and he married this woman whose name,Cinderella and the prince were married.,0.4102,0.5898,True,
but she also had two daughters named Anastasia and Rosella.,but she also had two daughters named Anastasia and Rosella.,Dad remarried a woman with two daughters.,0.3692,0.6308,True,
"And then the book did not tell us, but at this point it's important.","And then the book did not tell us, but at this point it's important.",Cinderella and the prince were married.,0.2708,0.7292,True,
that the father dies.,that the father dies.,Dad remarried a woman with two daughters.,0.4175,0.5825,True,
because he has to be out of the picture.,because he has to be out of the picture.,Dad remarried a woman with two daughters.,0.1851,0.8149,True,
Didn't show me a picture of father dying.,Didn't show me a picture of father dying.,Dad remarried a woman with two daughters.,0.2458,0.7542,True,
So the mother really does not like Cinderella at all.,the mother really does not like Cinderella at all,Cinderella was upset.,0.6559,0.3441,True,
and starts to treat Cinderella if she were a servant.,and starts to treat Cinderella if she were a servant.,Cinderella has to do housework.,0.732,0.268,True,
When Cinderella has to do all the cleaning.,When Cinderella has to do all the cleaning.,Cinderella has to do housework.,0.6758,0.3242,True,
"and she wears dirty clothes,.","and she wears dirty clothes,.",Cinderella has to do housework.,0.2447,0.7553,True,
and there they talk about the fact.,and there they talk about the fact.,,0.1013,0.8987,False,False
"that she has to clean out the fireplace, hence Cinderella, and Anastasia and Drissella are mean to her.","that she has to clean out the fireplace, hence Cinderella, and Anastasia and Drissella are mean to her.",Stepmother/stepsisters were mean to Cinderella.,0.659,0.341,True,
And um that 's why the father has to be dead.,And that 's why the father has to be dead,Dad remarried a woman with two daughters.,0.3238,0.6762,True,
So then we see the king who's a rather blustery man saying my son has to marry the prince really needs a wife.,then we see the king who's a rather blustery man saying my son has to marry the prince really needs a wife,The king thinks the prince should get married.,0.537,0.463,True,
Would he please settle down?,Would he please settle down?,,0.0596,0.9404,False,False
and get a wife?,and get a wife?,,0.1569,0.8431,False,False
"We're going to have a ball where he can meet all the young women in the kingdom,.","We're going to have a ball where he can meet all the young women in the kingdom,.",King announces there is going to be a ball in honor of son who needs to find a wife.,0.3881,0.6119,True,
and then he better choose a wife.,and then he better choose a wife.,The king thinks the prince should get married.,0.1771,0.8229,True,
cause really we need him to get married.,cause really we need him to get married.,,0.1589,0.8411,False,False
So the invitation to the ball comes to the stepmother.,the invitation to the ball comes to the stepmother,Stepmother/stepsisters went to the ball.,0.7524,0.2476,True,
and um it says all the young maidens must come to the ball.,and it says all the young maidens must come to the ball,Cinderella went to the ball in the coach.,0.4955,0.5045,True,
"so Cinderella goes, God, this is great.","Cinderella goes, God, this is great",The fairy godmother makes Cinderella into a beautiful princess.,0.6665,0.3335,True,
"I'm gonna be able to go and then stepmother's like , yeah, mhm, sure.","I'm gonna be able to go stepmother's mhm, sure",Stepmother/stepsisters were mean to Cinderella.,0.3471,0.6529,True,
So It probably wasn't in the book.,It probably wasn't in the book,As she was running down the stairs she lost one of the glass slippers.,0.2785,0.7215,True,
So actually the stepmother says.,the stepmother says,Stepmother/stepsisters were mean to Cinderella.,0.6047,0.3953,True,
"if you get all your work done, you can go, knowing full well.","if you get all your work done, you can go, knowing full well.",,0.0363,0.9637,False,False
that they were gonna put all sorts of work on her.,that they were gonna put all sorts of work on her.,She knew she had to be home by midnight because everything will turn back at midnight.,0.2774,0.7226,True,
that would make it.,that would make it.,,0.1253,0.8747,False,False
so she couldn't go.,she couldn't go,Cinderella was upset.,0.3769,0.6231,True,
"She also had nothing to wear, so the mice, including Gus,.","She also had nothing to wear, so the mice, including Gus,.",As she was running down the stairs she lost one of the glass slippers.,0.3356,0.6644,True,
"if you've seen the movie Gus Gus, Gus, Gus, Gus, the mice.","if you've seen the movie Gus Gus, Gus, Gus, Gus, the mice.",The fairy godmother makes pumpkin and mice turn into carriage/coach and horses.,0.2039,0.7961,True,
and the birds make a beautiful gown for her.,and the birds make a beautiful gown for her.,The fairy godmother makes Cinderella into a beautiful princess.,0.5026,0.4974,True,
So she gets all her work done.,she gets all her work done,Cinderella has to do housework.,0.2259,0.7741,True,
Anastasia.,Anastasia.,,0.3265,0.6735,False,False
"and Drissella are really making her get them ready, zip me up, tighten my corset, comb my hair, put my bow in my hair,.","and Drissella are really making her get them ready, zip me up, tighten my corset, comb my hair, put my bow in my hair,.",Cinderella has to do housework.,0.2638,0.7362,True,
"and they get all ready,.","and they get all ready,.",They got an invitation to the ball.,0.3287,0.6713,True,
and then Cinderella goes.,Cinderella goes,Cinderella has to do housework.,0.7454,0.2546,True,
and puts her beautiful gown on that the birds.,and puts her beautiful gown on that the birds.,Cinderella has to do housework.,0.4924,0.5076,True,True
and the mice have made for her.,and the mice have made for her.,Cinderella has to do housework.,0.3359,0.6641,True,
