utterance,normalized_utterance,matched_concept,similarity_score,distance_to_centroid,is_main_concept,is_repeated
"At any rate, Cinderella was working in a in a house with a a Harsh woman who uh didn't really appreciate her and everything else and uh she Um, Mm.","At any rate, Cinderella was working in a in a house with a a Harsh woman who didn't really appreciate her and everything else and she Mm",Cinderella was a servant to the stepmother and stepsisters.,0.7529,0.2471,True,
"OK, anyway, she, um.","OK, she",,0.224,0.776,False,False
"Yeah, OK, we'll go from there.","OK, we'll go from there",,0.0861,0.9139,False,False
"Anyway, there's a fair uh fairy godmother who, uh, she encounters.","there's a fair fairy godmother who, she encounters",A fairy godmother appeared to Cinderella.,0.5807,0.4193,True,
"and who provides her with the opportunity to go to a A uh Dance or a uh some kind of a celebration where she meets a a wonderful looking man who she falls in love with and so forth,.",and who provides her with the opportunity to go to a A Dance or a some kind of a celebration where she meets a a wonderful looking man who she falls in love with and so forth,The fairy godmother makes Cinderella into a beautiful princess.,0.4746,0.5254,True,
and they dance until midnight and then unfortunately at midnight.,and they dance until midnight and then unfortunately at midnight.,Cinderella realized it is midnight.,0.2592,0.7408,True,
"The coach that she was uh, it came in and all that turns into a pumpkin and uh the uh and so forth,.",The coach that she was it came in and all that turns into a pumpkin and the and so forth,The fairy godmother makes pumpkin and mice turn into carriage/coach and horses.,0.4299,0.5701,True,
and she runs down the stairs.,and she runs down the stairs.,She ran down the stairs.,0.5012,0.4988,True,
and gets out of there in a hurry.,and gets out of there in a hurry.,Cinderella has to do housework.,0.2499,0.7501,True,
"before it turns into a pumpkin,.","before it turns into a pumpkin,.",The fairy godmother makes pumpkin and mice turn into carriage/coach and horses.,0.2269,0.7731,True,
but she leaves behind her silver slipper or whatever the glass slipper.,but she leaves behind her silver slipper or whatever the glass slipper.,As she was running down the stairs she lost one of the glass slippers.,0.5569,0.4431,True,
and uh She goes back to work there and so forth and Through the surprise of the people who he works for or with lives with and so forth when the the uh two sisters that lived there with their with their with their mother um are disappointed when the prince comes around with the the golden with the glass slipper.,and She goes back to work there and so forth and Through the surprise of the people who he works for or with lives with and so forth when the the two sisters that lived there with their with their with their mother are disappointed when the prince comes around with the the golden with the glass slipper,Prince comes to Cinderella's house.,0.6827,0.3173,True,
"He tries it on their feet and their feet are way too big,.","He tries it on their feet and their feet are way too big,.",,0.1857,0.8143,False,False
"and they come to to Cinderella, put it on.","and they come to to Cinderella, put it on.",Prince comes to Cinderella's house.,0.7215,0.2785,True,
and it fits like a glove.,and it fits like a glove.,The slipper fits Cinderella perfectly.,0.2046,0.7954,True,
"And therefore, say you fall madly in love.","And therefore, say you fall madly in love.",Prince falls in love with Cinderella.,0.2539,0.7461,True,
and she becomes uh married to the prince.,and she becomes married to the prince,Prince falls in love with Cinderella.,0.6305,0.3695,True,
Sure.,Sure.,,0.0633,0.9367,False,False
that's a quick synopsis.,that's a quick synopsis.,Cinderella lives with her stepmother/stepsisters.,0.2368,0.7632,True,
"OK, so Cinderella was a Um, her, her parents died.","OK, so Cinderella was a her, her parents died",Cinderella lives with her stepmother/stepsisters.,0.7956,0.2044,True,
and she had to go live with an aunt and two stepdaughters or stepsisters.,and she had to go live with an aunt and two stepdaughters or stepsisters.,Stepmother/stepsisters were mean to Cinderella.,0.507,0.493,True,
"And they treated her rather unfair,.","And they treated her rather unfair,.",Stepmother/stepsisters were mean to Cinderella.,0.322,0.678,True,
"and she got the worst clothes, she always had to do all the chore, the hard chores, and uh the stepsisters.","and she got the worst clothes, she always had to do all the chore, the hard chores, and the stepsisters",Stepmother/stepsisters were mean to Cinderella.,0.4396,0.5604,True,
and the stepmother didn't treat her that nicely.,and the stepmother didn't treat her that nicely.,Stepmother/stepsisters were mean to Cinderella.,0.6577,0.3423,True,
"As she got older, um, there was gonna be a big ball in the uh in the kingdom,.","As she got older, there was gonna be a big ball in the in the kingdom",King announces there is going to be a ball in honor of son who needs to find a wife.,0.5627,0.4373,True,
and everyone was invited.,and everyone was invited.,They got an invitation to the ball.,0.3179,0.6821,True,
and she wanted to go.,and she wanted to go.,She knew she had to be home by midnight because everything will turn back at midnight.,0.4112,0.5888,True,
"She didn't have a dress or anything to wear, so she was.","She didn't have a dress or anything to wear, so she was.",Cinderella was upset.,0.3193,0.6807,True,
Able to get a dress made with the help of some magic mice or magic critters.,Able to get a dress made with the help of some magic mice or magic critters.,The fairy godmother makes pumpkin and mice turn into carriage/coach and horses.,0.4135,0.5865,True,
"And she went to the ball,.","And she went to the ball,.",Cinderella went to the ball in the coach.,0.4159,0.5841,True,
and she had a wonderful time.,and she had a wonderful time.,She returned home in time.,0.371,0.629,True,
"She met the prince, the prince, you know, had feelings for her.","She met the prince, the prince, had feelings for her",Prince falls in love with Cinderella.,0.5835,0.4165,True,
and um she had to leave the ball all of a sudden.,and she had to leave the ball all of a sudden,Stepmother/stepsisters went to the ball.,0.4143,0.5857,True,
"because her magic gown was gonna change back to, you know, frumpy clothing.","because her magic gown was gonna change back to, frumpy clothing",Cinderella was upset.,0.4747,0.5253,True,
"At midnight she ran out, she lost her magic slipper, one of her slippers,.","At midnight she ran out, she lost her magic slipper, one of her slippers,.",As she was running down the stairs she lost one of the glass slippers.,0.6639,0.3361,True,
and she went home.,and she went home.,She returned home in time.,0.4267,0.5733,True,
"and thought, you know, that was the end of it.","and thought, that was the end of it",Cinderella realized it is midnight.,0.3086,0.6914,True,
"She'd never, you know, see the prince again.","She'd never, see the prince again",The king thinks the prince should get married.,0.478,0.522,True,
"Um, the prince took that slipper.",the prince took that slipper,Prince finds Cinderella’s shoe.,0.6285,0.3715,True,
"and went around the kingdom trying to find out who it belonged to, and lo.","and went around the kingdom trying to find out who it belonged to, and lo.",The prince searched door to door for Cinderella.,0.4386,0.5614,True,
"and behold, it belonged to Cinderella, who we found.","and behold, it belonged to Cinderella, who we found.",A fairy godmother appeared to Cinderella.,0.6979,0.3021,True,
by going to all the different houses.,by going to all the different houses.,The prince searched door to door for Cinderella.,0.2513,0.7487,True,
And um she kissed him.,And she kissed him,He put the slipper on Cinderella’s foot.,0.3827,0.6173,True,
"and she became glamorous again,.","and she became glamorous again,.",She returned home in time.,0.4173,0.5827,True,
and they got married.,and they got married.,Cinderella and the prince were married.,0.4479,0.5521,True,
and they lived happily ever after.,and they lived happily ever after.,Cinderella and the prince lived happily ever after.,0.472,0.528,True,True
All the dismay of the stepmother and the stepsisters.,All the dismay of the stepmother and the stepsisters.,Stepmother/stepsisters were mean to Cinderella.,0.6414,0.3586,True,
The end.,The end.,Everything turns back to its original form.,0.2516,0.7484,True,
Cinderella was a uh A fairy tale.,Cinderella was a A fairy tale,The fairy godmother makes Cinderella into a beautiful princess.,0.7061,0.2939,True,
that um I guess it's her stepmother.,that it's her stepmother,Stepmother/stepsisters were mean to Cinderella.,0.5399,0.4601,True,
and she has the stepmother has two ugly daughters.,and she has the stepmother has two ugly daughters.,Stepmother/stepsisters were mean to Cinderella.,0.5039,0.4961,True,
And Cinderella is wanting to go to the ball.,And Cinderella is wanting to go to the ball.,Cinderella went to the ball in the coach.,0.7856,0.2144,True,
"And she gets dressed real pretty,.","And she gets dressed real pretty,.",The slipper fits Cinderella perfectly.,0.3228,0.6772,True,
and the girls insult her.,and the girls insult her.,Cinderella was upset.,0.2784,0.7216,True,
and rip the necklace off her off her neck.,and rip the necklace off her off her neck.,Cinderella has to do housework.,0.3172,0.6828,True,
"and She, uh, wishes.","and She, wishes",Cinderella realized it is midnight.,0.3233,0.6767,True,
